Parameter,BiophysicalMeaning
gNaTs2_tbar_NaTs2_t_apical,gNaT
gSKv3_1bar_SKv3_1_apical,gKv3.1
gImbar_Im_apical,gIm
gIhbar_Ih_dend,gIh
gNaTa_tbar_NaTa_t_axonal,gNaT
gK_Tstbar_K_Tst_axonal,gKT
gNap_Et2bar_Nap_Et2_axonal,gNaP
gSK_E2bar_SK_E2_axonal,gK
gCa_HVAbar_Ca_HVA_axonal,gCaHVA
gK_Pstbar_K_Pst_axonal,gKP
gCa_LVAstbar_Ca_LVAst_axonal,gCaLVA
g_pas_axonal,gPas
cm_axonal,cm
gSKv3_1bar_SKv3_1_somatic,gKv3.1
gNaTs2_tbar_NaTs2_t_somatic,gNaT
gCa_LVAstbar_Ca_LVAst_somatic,gCaLVA
g_pas_somatic,gPas
cm_somatic,cm
e_pas_all,ePas
gCabar_Ca_axonal,gCa
gK_Tstbar_K_Tst_somatic,gKT
gNap_Et2bar_Nap_Et2_somatic,gNaP
gSK_E2bar_SK_E2_somatic,gK
gK_Pstbar_K_Pst_somatic,gKP
gImbar_Im_somatic,gIm
gCabar_Ca_somatic,gCa
gK_Tstbar_K_Tst_dend,gKT
gSKv3_1bar_SKv3_1_dend,gKv3.1
gNap_Et2bar_Nap_Et2_dend,gNaP
gNaTs2_tbar_NaTs2_t_dend,gNaT
g_pas_dend,gPas
gImbar_Im_dend,gIm
gkbar_StochKv_somatic,gK
gkbar_KdShu2007_somatic,KdShu2007 K
gkbar_StochKv_dend,gKbarSt
gkbar_KdShu2007_dend,gKSh
gSKv3_1bar_SKv3_1_axonal,gKv3.1