Modified Cell,mType,eType
L23_NBC_bNAC219_1,L23_NBC,bNAC
L5_NGC_bNAC219_1,L5_NGC,bNAC
L23_NGC_bNAC219_1,L23_NGC,bNAC
L4_NGC_bNAC219_1,L4_NGC,bNAC
L6_LBC_bNAC219_1,L6_LBC,bNAC
L4_BTC_bSTUT213_1,L4_BTC,bSTUT
L5_DBC_bSTUT213_1,L5_DBC,bSTUT
L5_MC_bSTUT213_1,L5_MC,bSTUT
L6_DBC_bSTUT213_1,L6_DBC,bSTUT
L6_NBC_bSTUT213_1,L6_NBC,bSTUT
L23_DBC_cACint209_1,L23_DBC,cAC
L23_BP_cACint209_1,L23_BP,cAC
L4_BTC_cACint209_1,L4_BTC,cAC
L5_BTC_cACint209_1,L5_BTC,cAC
L6_NBC_cACint209_1,L6_NBC,cAC
L6_MC_cIR216_1,L6_MC,cIR
L1_HAC_cIR216_1,L1_HAC,cIR
L6_NBC_cIR216_1,L6_NBC,cIR
L5_NBC_cIR216_1,L5_NBC,cIR
L5_DBC_cIR216_1,L5_DBC,cIR
L5_DBC_cNAC187_1,L5_DBC,cNAC
L1_NGC-SA_cNAC187_1,L1_NGC-SA,cNAC
L23_BP_cNAC187_1,L23_BP,cNAC
L4_LBC_cNAC187_1,L4_LBC,cNAC
L6_LBC_cNAC187_1,L6_LBC,cNAC
L23_LBC_cSTUT189_1,L23_LBC,cSTUT
L1_NGC-DA_cSTUT189_1,L1_NGC-DA,cSTUT
L6_NGC_cSTUT189_1,L6_NGC,cSTUT
L23_NGC_cSTUT189_1,L23_NGC,cSTUT
L6_NBC_cSTUT189_1,L6_NBC,cSTUT
L4_BTC_dNAC222_1,L4_BTC,dNAC
L23_LBC_dNAC222_1,L23_LBC,dNAC
L23_MC_dNAC222_1,L23_MC,dNAC
L4_ChC_dNAC222_1,L4_ChC,dNAC
L4_SBC_dNAC222_1,L4_SBC,dNAC
L4_BP_dSTUT214_1,L4_BP,dSTUT
L5_BP_dSTUT214_1,L5_BP,dSTUT
L23_BP_dSTUT214_1,L23_BP,dSTUT
L6_NBC_dSTUT214_1,L6_NBC,dSTUT
L6_BP_dSTUT214_1,L6_BP,dSTUT