Parameters,L6_TPC_L1_cADpyr_0,L6_TPC_L1_cADpyr_1,L6_TPC_L1_cADpyr_2,L6_TPC_L1_cADpyr_3,L6_TPC_L1_cADpyr_4,L4_SS_cADpyr_0,L4_SS_cADpyr_1,L4_SS_cADpyr_2,L4_SS_cADpyr_3,L4_SS_cADpyr_4,L4_SP_cADpyr_0,L4_SP_cADpyr_1,L4_SP_cADpyr_2,L4_SP_cADpyr_3,L4_SP_cADpyr_4,L6_UTPC_cADpyr_0,L6_UTPC_cADpyr_1,L6_UTPC_cADpyr_2,L6_UTPC_cADpyr_3,L6_UTPC_cADpyr_4,L23_PC_cADpyr_0,L23_PC_cADpyr_1,L23_PC_cADpyr_2,L23_PC_cADpyr_3,L23_PC_cADpyr_4,L5_UTPC_cADpyr_0,L5_UTPC_cADpyr_1,L5_UTPC_cADpyr_2,L5_UTPC_cADpyr_3,L5_UTPC_cADpyr_4,L5_STPC_cADpyr_0,L5_STPC_cADpyr_1,L5_STPC_cADpyr_2,L5_STPC_cADpyr_3,L5_STPC_cADpyr_4,L6_IPC_cADpyr_0,L6_IPC_cADpyr_1,L6_IPC_cADpyr_2,L6_IPC_cADpyr_3,L6_IPC_cADpyr_4,L6_TPC_L4_cADpyr_0,L6_TPC_L4_cADpyr_1,L6_TPC_L4_cADpyr_2,L6_TPC_L4_cADpyr_3,L6_TPC_L4_cADpyr_4,L5_TTPC1_cADpyr_0,L5_TTPC1_cADpyr_1,L5_TTPC1_cADpyr_2,L5_TTPC1_cADpyr_3,L5_TTPC1_cADpyr_4,L5_TTPC2_cADpyr_0,L5_TTPC2_cADpyr_1,L5_TTPC2_cADpyr_2,L5_TTPC2_cADpyr_3,L5_TTPC2_cADpyr_4,L4_PC_cADpyr_0,L4_PC_cADpyr_1,L4_PC_cADpyr_2,L4_PC_cADpyr_3,L4_PC_cADpyr_4,L6_BPC_cADpyr_0,L6_BPC_cADpyr_1,L6_BPC_cADpyr_2,L6_BPC_cADpyr_3,L6_BPC_cADpyr_4
gNaTs2_tbar_NaTs2_t_apical,0.8123891308972571,0.8123891308972571,0.8123891308972571,0.8123891308972571,0.8123891308972571,31.622776601683803,31.622776601683803,0.7233393919869153,0.7233393919869153,0.7233393919869153,0.7233393919869153,0.7233393919869153,0.7233393919869153,0.7233393919869153,0.7233393919869153,0.8123891308972571,0.8123891308972571,0.8123891308972571,0.8123891308972571,0.8123891308972571,0.3797579242096208,0.3797579242096208,0.3797579242096208,0.3797579242096208,0.3797579242096208,0.8267774942510231,0.8267774942510231,0.8267774942510231,0.8267774942510231,0.8267774942510231,0.8267774942510231,0.8267774942510231,0.8267774942510231,0.8267774942510231,0.8267774942510231,0.8123891308972571,0.8123891308972571,0.8123891308972571,0.8123891308972571,0.8123891308972571,0.8123891308972571,0.8123891308972571,0.8123891308972571,0.8123891308972571,0.8123891308972571,0.8267774942510231,0.8267774942510231,0.8267774942510231,0.8267774942510231,0.8267774942510231,0.8267774942510231,0.8267774942510231,0.8267774942510231,0.8267774942510231,0.8267774942510231,0.7233393919869153,0.7233393919869153,0.7233393919869153,0.7233393919869153,0.7233393919869153,0.8123891308972571,0.8123891308972571,0.8123891308972571,0.8123891308972571,0.8123891308972571
gSKv3_1bar_SKv3_1_apical,1.2574164660127531,1.2574164660127531,1.2574164660127531,1.2574164660127531,1.2574164660127531,31.622776601683803,31.622776601683803,1.263867512439497,1.263867512439497,1.263867512439497,1.263867512439497,1.263867512439497,1.263867512439497,1.263867512439497,1.263867512439497,1.2574164660127531,1.2574164660127531,1.2574164660127531,1.2574164660127531,1.2574164660127531,0.01622248439666379,0.01622248439666379,0.01622248439666379,0.01622248439666379,0.01622248439666379,0.13363785391871574,0.13363785391871574,0.13363785391871574,0.13363785391871574,0.13363785391871574,0.13363785391871574,0.13363785391871574,0.13363785391871574,0.13363785391871574,0.13363785391871574,1.2574164660127531,1.2574164660127531,1.2574164660127531,1.2574164660127531,1.2574164660127531,1.2574164660127531,1.2574164660127531,1.2574164660127531,1.2574164660127531,1.2574164660127531,0.13363785391871574,0.13363785391871574,0.13363785391871574,0.13363785391871574,0.13363785391871574,0.13363785391871574,0.13363785391871574,0.13363785391871574,0.13363785391871574,0.13363785391871574,1.263867512439497,1.263867512439497,1.263867512439497,1.263867512439497,1.263867512439497,1.2574164660127531,1.2574164660127531,1.2574164660127531,1.2574164660127531,1.2574164660127531
gImbar_Im_apical,0.10000000000000009,0.10000000000000009,0.10000000000000009,0.10000000000000009,0.10000000000000009,100.00000000000009,100.00000000000009,0.10000000000000009,0.10000000000000009,0.10000000000000009,0.10000000000000009,0.10000000000000009,0.10000000000000009,0.10000000000000009,0.10000000000000009,0.10000000000000009,0.10000000000000009,0.10000000000000009,0.10000000000000009,0.10000000000000009,0.07400000000000007,0.07400000000000007,0.07400000000000007,0.07400000000000007,0.07400000000000007,0.014300000000000012,0.014300000000000012,0.014300000000000012,0.014300000000000012,0.014300000000000012,0.014300000000000012,0.014300000000000012,0.014300000000000012,0.014300000000000012,0.014300000000000012,0.10000000000000009,0.10000000000000009,0.10000000000000009,0.10000000000000009,0.10000000000000009,0.10000000000000009,0.10000000000000009,0.10000000000000009,0.10000000000000009,0.10000000000000009,0.014300000000000012,0.014300000000000012,0.014300000000000012,0.014300000000000012,0.014300000000000012,0.014300000000000012,0.014300000000000012,0.014300000000000012,0.014300000000000012,0.014300000000000012,0.10000000000000009,0.10000000000000009,0.10000000000000009,0.10000000000000009,0.10000000000000009,0.10000000000000009,0.10000000000000009,0.10000000000000009,0.10000000000000009,0.10000000000000009
gIhbar_Ih_dend,0.0008000000000000003,0.0008000000000000003,0.0008000000000000003,0.0008000000000000003,0.0008000000000000003,0.0008000000000000003,0.0008000000000000003,0.0008000000000000003,0.0008000000000000003,0.0008000000000000003,0.0008000000000000003,0.0008000000000000003,0.0008000000000000003,0.0008000000000000003,0.0008000000000000003,0.0008000000000000003,0.0008000000000000003,0.0008000000000000003,0.0008000000000000003,0.0008000000000000003,0.0008000000000000003,0.0008000000000000003,0.0008000000000000003,0.0008000000000000003,0.0008000000000000003,0.0008000000000000003,0.0008000000000000003,0.0008000000000000003,0.0008000000000000003,0.0008000000000000003,0.0008000000000000003,0.0008000000000000003,0.0008000000000000003,0.0008000000000000003,0.0008000000000000003,0.0008000000000000003,0.0008000000000000003,0.0008000000000000003,0.0008000000000000003,0.0008000000000000003,0.0008000000000000003,0.0008000000000000003,0.0008000000000000003,0.0008000000000000003,0.0008000000000000003,0.0008000000000000003,0.0008000000000000003,0.0008000000000000003,0.0008000000000000003,0.0008000000000000003,0.0008000000000000003,0.0008000000000000003,0.0008000000000000003,0.0008000000000000003,0.0008000000000000003,0.0008000000000000003,0.0008000000000000003,0.0008000000000000003,0.0008000000000000003,0.0008000000000000003,0.0008000000000000003,0.0008000000000000003,0.0008000000000000003,0.0008000000000000003,0.0008000000000000003
gNaTa_tbar_NaTa_t_axonal,32.88755000000001,32.88755000000001,32.88755000000001,32.88755000000001,32.88755000000001,39.99904000000001,39.99904000000001,39.99904000000001,39.99904000000001,39.99904000000001,39.99904000000001,39.99904000000001,39.99904000000001,39.99904000000001,39.99904000000001,32.88755000000001,32.88755000000001,32.88755000000001,32.88755000000001,32.88755000000001,34.297250000000005,34.297250000000005,34.297250000000005,34.297250000000005,34.297250000000005,31.379680000000008,31.379680000000008,31.379680000000008,31.379680000000008,31.379680000000008,31.379680000000008,31.379680000000008,31.379680000000008,31.379680000000008,31.379680000000008,32.88755000000001,32.88755000000001,32.88755000000001,32.88755000000001,32.88755000000001,32.88755000000001,32.88755000000001,32.88755000000001,32.88755000000001,32.88755000000001,31.379680000000008,31.379680000000008,31.379680000000008,31.379680000000008,31.379680000000008,31.379680000000008,31.379680000000008,31.379680000000008,31.379680000000008,31.379680000000008,39.99904000000001,39.99904000000001,39.99904000000001,39.99904000000001,39.99904000000001,32.88755000000001,32.88755000000001,32.88755000000001,32.88755000000001,32.88755000000001
gK_Tstbar_K_Tst_axonal,2.9456000000000024,2.9456000000000024,2.9456000000000024,2.9456000000000024,2.9456000000000024,7.116600000000006,7.116600000000006,7.116600000000006,7.116600000000006,7.116600000000006,7.116600000000006,7.116600000000006,7.116600000000006,7.116600000000006,7.116600000000006,2.9456000000000024,2.9456000000000024,2.9456000000000024,2.9456000000000024,2.9456000000000024,0.10350000000000008,0.10350000000000008,0.10350000000000008,0.10350000000000008,0.10350000000000008,8.925900000000007,8.925900000000007,8.925900000000007,8.925900000000007,8.925900000000007,8.925900000000007,8.925900000000007,8.925900000000007,8.925900000000007,8.925900000000007,2.9456000000000024,2.9456000000000024,2.9456000000000024,2.9456000000000024,2.9456000000000024,2.9456000000000024,2.9456000000000024,2.9456000000000024,2.9456000000000024,2.9456000000000024,8.925900000000007,8.925900000000007,8.925900000000007,8.925900000000007,8.925900000000007,8.925900000000007,8.925900000000007,8.925900000000007,8.925900000000007,8.925900000000007,7.116600000000006,7.116600000000006,7.116600000000006,7.116600000000006,7.116600000000006,2.9456000000000024,2.9456000000000024,2.9456000000000024,2.9456000000000024,2.9456000000000024
gNap_Et2bar_Nap_Et2_axonal,0.06710000000000006,0.06710000000000006,0.06710000000000006,0.06710000000000006,0.06710000000000006,0.005600000000000005,0.005600000000000005,0.005600000000000005,0.005600000000000005,0.005600000000000005,0.005600000000000005,0.005600000000000005,0.005600000000000005,0.005600000000000005,0.005600000000000005,0.06710000000000006,0.06710000000000006,0.06710000000000006,0.06710000000000006,0.06710000000000006,0.9803000000000007,0.9803000000000007,0.9803000000000007,0.9803000000000007,0.9803000000000007,0.6827000000000006,0.6827000000000006,0.6827000000000006,0.6827000000000006,0.6827000000000006,0.6827000000000006,0.6827000000000006,0.6827000000000006,0.6827000000000006,0.6827000000000006,0.06710000000000006,0.06710000000000006,0.06710000000000006,0.06710000000000006,0.06710000000000006,0.06710000000000006,0.06710000000000006,0.06710000000000006,0.06710000000000006,0.06710000000000006,0.6827000000000006,0.6827000000000006,0.6827000000000006,0.6827000000000006,0.6827000000000006,0.6827000000000006,0.6827000000000006,0.6827000000000006,0.6827000000000006,0.6827000000000006,0.005600000000000005,0.005600000000000005,0.005600000000000005,0.005600000000000005,0.005600000000000005,0.06710000000000006,0.06710000000000006,0.06710000000000006,0.06710000000000006,0.06710000000000006
gSK_E2bar_SK_E2_axonal,9.837700000000009,9.837700000000009,9.837700000000009,9.837700000000009,9.837700000000009,9.724400000000008,9.724400000000008,9.724400000000008,9.724400000000008,9.724400000000008,9.724400000000008,9.724400000000008,9.724400000000008,9.724400000000008,9.724400000000008,9.837700000000009,9.837700000000009,9.837700000000009,9.837700000000009,9.837700000000009,0.8085000000000008,0.8085000000000008,0.8085000000000008,0.8085000000000008,0.8085000000000008,0.7104000000000007,0.7104000000000007,0.7104000000000007,0.7104000000000007,0.7104000000000007,0.7104000000000007,0.7104000000000007,0.7104000000000007,0.7104000000000007,0.7104000000000007,9.837700000000009,9.837700000000009,9.837700000000009,9.837700000000009,9.837700000000009,9.837700000000009,9.837700000000009,9.837700000000009,9.837700000000009,9.837700000000009,0.7104000000000007,0.7104000000000007,0.7104000000000007,0.7104000000000007,0.7104000000000007,0.7104000000000007,0.7104000000000007,0.7104000000000007,0.7104000000000007,0.7104000000000007,9.724400000000008,9.724400000000008,9.724400000000008,9.724400000000008,9.724400000000008,9.837700000000009,9.837700000000009,9.837700000000009,9.837700000000009,9.837700000000009
gCa_HVAbar_Ca_HVA_axonal,0.21629979195551727,0.21629979195551727,0.21629979195551727,0.21629979195551727,0.21629979195551727,0.2719558787744808,0.2719558787744808,0.2719558787744808,0.2719558787744808,0.2719558787744808,0.2719558787744808,0.2719558787744808,0.2719558787744808,0.2719558787744808,0.2719558787744808,0.21629979195551727,0.21629979195551727,0.21629979195551727,0.21629979195551727,0.21629979195551727,0.09676569640115246,0.09676569640115246,0.09676569640115246,0.09676569640115246,0.09676569640115246,0.31306548835666975,0.31306548835666975,0.31306548835666975,0.31306548835666975,0.31306548835666975,0.31306548835666975,0.31306548835666975,0.31306548835666975,0.31306548835666975,0.31306548835666975,0.21629979195551727,0.21629979195551727,0.21629979195551727,0.21629979195551727,0.21629979195551727,0.21629979195551727,0.21629979195551727,0.21629979195551727,0.21629979195551727,0.21629979195551727,0.31306548835666975,0.31306548835666975,0.31306548835666975,0.31306548835666975,0.31306548835666975,0.31306548835666975,0.31306548835666975,0.31306548835666975,0.31306548835666975,0.31306548835666975,0.2719558787744808,0.2719558787744808,0.2719558787744808,0.2719558787744808,0.2719558787744808,0.21629979195551727,0.21629979195551727,0.21629979195551727,0.21629979195551727,0.21629979195551727
gK_Pstbar_K_Pst_axonal,0.957198,0.957198,0.957198,0.957198,0.957198,0.428834,0.428834,0.428834,0.428834,0.428834,0.428834,0.428834,0.428834,0.428834,0.428834,0.957198,0.957198,0.957198,0.957198,0.957198,0.9592959999999999,0.9592959999999999,0.9592959999999999,0.9592959999999999,0.9592959999999999,0.9735379999999999,0.9735379999999999,0.9735379999999999,0.9735379999999999,0.9735379999999999,0.9735379999999999,0.9735379999999999,0.9735379999999999,0.9735379999999999,0.9735379999999999,0.957198,0.957198,0.957198,0.957198,0.957198,0.957198,0.957198,0.957198,0.957198,0.957198,0.9735379999999999,0.9735379999999999,0.9735379999999999,0.9735379999999999,0.9735379999999999,0.9735379999999999,0.9735379999999999,0.9735379999999999,0.9735379999999999,0.9735379999999999,0.428834,0.428834,0.428834,0.428834,0.428834,0.957198,0.957198,0.957198,0.957198,0.957198
gCa_LVAstbar_Ca_LVAst_axonal,0.007000000000000001,0.007000000000000001,0.007000000000000001,0.007000000000000001,0.007000000000000001,1.6120000000000003,1.6120000000000003,1.6120000000000003,1.6120000000000003,1.6120000000000003,1.6120000000000003,1.6120000000000003,1.6120000000000003,1.6120000000000003,1.6120000000000003,0.007000000000000001,0.007000000000000001,0.007000000000000001,0.007000000000000001,0.007000000000000001,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.05000000000000001,8.752,8.752,8.752,8.752,8.752,8.752,8.752,8.752,8.752,8.752,0.007000000000000001,0.007000000000000001,0.007000000000000001,0.007000000000000001,0.007000000000000001,0.007000000000000001,0.007000000000000001,0.007000000000000001,0.007000000000000001,0.007000000000000001,8.752,8.752,8.752,8.752,8.752,8.752,8.752,8.752,8.752,8.752,1.6120000000000003,1.6120000000000003,1.6120000000000003,1.6120000000000003,1.6120000000000003,0.007000000000000001,0.007000000000000001,0.007000000000000001,0.007000000000000001,0.007000000000000001
g_pas_axonal,0.0009486832980505141,0.0009486832980505141,0.0009486832980505141,0.0009486832980505141,0.0009486832980505141,0.0009486832980505141,0.0009486832980505141,0.0009486832980505141,0.0009486832980505141,0.0009486832980505141,0.0009486832980505141,0.0009486832980505141,0.0009486832980505141,0.0009486832980505141,0.0009486832980505141,0.0009486832980505141,0.0009486832980505141,0.0009486832980505141,0.0009486832980505141,0.0009486832980505141,0.0009486832980505141,0.0009486832980505141,0.0009486832980505141,0.0009486832980505141,0.0009486832980505141,0.0009486832980505141,0.0009486832980505141,0.0009486832980505141,0.0009486832980505141,0.0009486832980505141,0.0009486832980505141,0.0009486832980505141,0.0009486832980505141,0.0009486832980505141,0.0009486832980505141,0.0009486832980505141,0.0009486832980505141,0.0009486832980505141,0.0009486832980505141,0.0009486832980505141,0.0009486832980505141,0.0009486832980505141,0.0009486832980505141,0.0009486832980505141,0.0009486832980505141,0.0009486832980505141,0.0009486832980505141,0.0009486832980505141,0.0009486832980505141,0.0009486832980505141,0.0009486832980505141,0.0009486832980505141,0.0009486832980505141,0.0009486832980505141,0.0009486832980505141,0.0009486832980505141,0.0009486832980505141,0.0009486832980505141,0.0009486832980505141,0.0009486832980505141,0.0009486832980505141,0.0009486832980505141,0.0009486832980505141,0.0009486832980505141,0.0009486832980505141
cm_axonal,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002
gSKv3_1bar_SKv3_1_somatic,2.306217474784198,2.306217474784198,2.306217474784198,2.306217474784198,2.306217474784198,8.972804746844773,8.972804746844773,8.972804746844773,8.972804746844773,8.972804746844773,8.972804746844773,8.972804746844773,8.972804746844773,8.972804746844773,8.972804746844773,2.306217474784198,2.306217474784198,2.306217474784198,2.306217474784198,2.306217474784198,3.2418721888748183,3.2418721888748183,3.2418721888748183,3.2418721888748183,3.2418721888748183,9.596627260866189,9.596627260866189,9.596627260866189,9.596627260866189,9.596627260866189,9.596627260866189,9.596627260866189,9.596627260866189,9.596627260866189,9.596627260866189,2.306217474784198,2.306217474784198,2.306217474784198,2.306217474784198,2.306217474784198,2.306217474784198,2.306217474784198,2.306217474784198,2.306217474784198,2.306217474784198,9.596627260866189,9.596627260866189,9.596627260866189,9.596627260866189,9.596627260866189,9.596627260866189,9.596627260866189,9.596627260866189,9.596627260866189,9.596627260866189,8.972804746844773,8.972804746844773,8.972804746844773,8.972804746844773,8.972804746844773,2.306217474784198,2.306217474784198,2.306217474784198,2.306217474784198,2.306217474784198
gNaTs2_tbar_NaTs2_t_somatic,30.891816120535886,30.891816120535886,30.891816120535886,30.891816120535886,30.891816120535886,31.616831519682687,31.616831519682687,31.616831519682687,31.616831519682687,31.616831519682687,31.616831519682687,31.616831519682687,31.616831519682687,31.616831519682687,31.616831519682687,30.891816120535886,30.891816120535886,30.891816120535886,30.891816120535886,30.891816120535886,29.304985190663388,29.304985190663388,29.304985190663388,29.304985190663388,29.304985190663388,31.115389151109788,31.115389151109788,31.115389151109788,31.115389151109788,31.115389151109788,31.115389151109788,31.115389151109788,31.115389151109788,31.115389151109788,31.115389151109788,30.891816120535886,30.891816120535886,30.891816120535886,30.891816120535886,30.891816120535886,30.891816120535886,30.891816120535886,30.891816120535886,30.891816120535886,30.891816120535886,31.115389151109788,31.115389151109788,31.115389151109788,31.115389151109788,31.115389151109788,31.115389151109788,31.115389151109788,31.115389151109788,31.115389151109788,31.115389151109788,31.616831519682687,31.616831519682687,31.616831519682687,31.616831519682687,31.616831519682687,30.891816120535886,30.891816120535886,30.891816120535886,30.891816120535886,30.891816120535886
gCa_LVAstbar_Ca_LVAst_somatic,5.5920000000000005,5.5920000000000005,5.5920000000000005,5.5920000000000005,5.5920000000000005,6.868000000000001,6.868000000000001,6.868000000000001,6.868000000000001,6.868000000000001,6.868000000000001,6.868000000000001,6.868000000000001,6.868000000000001,6.868000000000001,5.5920000000000005,5.5920000000000005,5.5920000000000005,5.5920000000000005,5.5920000000000005,0.7780000000000001,0.7780000000000001,0.7780000000000001,0.7780000000000001,0.7780000000000001,0.3330000000000001,0.3330000000000001,0.3330000000000001,0.3330000000000001,0.3330000000000001,0.3330000000000001,0.3330000000000001,0.3330000000000001,0.3330000000000001,0.3330000000000001,5.5920000000000005,5.5920000000000005,5.5920000000000005,5.5920000000000005,5.5920000000000005,5.5920000000000005,5.5920000000000005,5.5920000000000005,5.5920000000000005,5.5920000000000005,0.3330000000000001,0.3330000000000001,0.3330000000000001,0.3330000000000001,0.3330000000000001,0.3330000000000001,0.3330000000000001,0.3330000000000001,0.3330000000000001,0.3330000000000001,6.868000000000001,6.868000000000001,6.868000000000001,6.868000000000001,6.868000000000001,5.5920000000000005,5.5920000000000005,5.5920000000000005,5.5920000000000005,5.5920000000000005
g_pas_somatic,0.0003000000000000001,0.0003000000000000001,0.0003000000000000001,0.0003000000000000001,0.0003000000000000001,0.0003000000000000001,0.0003000000000000001,0.0003000000000000001,0.0003000000000000001,0.0003000000000000001,0.0003000000000000001,0.0003000000000000001,0.0003000000000000001,0.0003000000000000001,0.0003000000000000001,0.0003000000000000001,0.0003000000000000001,0.0003000000000000001,0.0003000000000000001,0.0003000000000000001,0.0003000000000000001,0.0003000000000000001,0.0003000000000000001,0.0003000000000000001,0.0003000000000000001,0.0003000000000000001,0.0003000000000000001,0.0003000000000000001,0.0003000000000000001,0.0003000000000000001,0.0003000000000000001,0.0003000000000000001,0.0003000000000000001,0.0003000000000000001,0.0003000000000000001,0.0003000000000000001,0.0003000000000000001,0.0003000000000000001,0.0003000000000000001,0.0003000000000000001,0.0003000000000000001,0.0003000000000000001,0.0003000000000000001,0.0003000000000000001,0.0003000000000000001,0.0003000000000000001,0.0003000000000000001,0.0003000000000000001,0.0003000000000000001,0.0003000000000000001,0.0003000000000000001,0.0003000000000000001,0.0003000000000000001,0.0003000000000000001,0.0003000000000000001,0.0003000000000000001,0.0003000000000000001,0.0003000000000000001,0.0003000000000000001,0.0003000000000000001,0.0003000000000000001,0.0003000000000000001,0.0003000000000000001,0.0003000000000000001,0.0003000000000000001
cm_somatic,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002,10.000000000000002
e_pas_all,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0
